week_start_date,week_number,calculated_total_orders,reported_total_orders,orders_diff,calculated_avg_bill_value,reported_avg_bill_value,avg_bill_value_diff,reconciliation_status
2026-06-01 00:00:00,1,88,88.0,0.0,581.78,581.784090909091,-0.0,MATCH
2026-06-08 00:00:00,2,83,83.0,0.0,526.55,526.55421686747,-0.0,MATCH
2026-06-15 00:00:00,3,78,78.0,0.0,613.1,613.102564102564,0.0,MATCH
2026-06-22 00:00:00,4,79,79.0,0.0,614.51,614.506329113924,0.0,MATCH
2026-06-29 00:00:00,5,81,81.0,0.0,641.72,641.716049382716,0.0,MATCH
2026-07-06 00:00:00,6,69,69.0,0.0,627.7,627.695652173913,0.0,MATCH
2026-07-13 00:00:00,7,80,80.0,0.0,549.14,549.1375,0.0,MATCH
2026-07-20 00:00:00,8,72,72.0,0.0,580.75,580.75,0.0,MATCH
2026-07-27 00:00:00,9,72,72.0,0.0,659.86,659.861111111111,0.0,MATCH
2026-08-03 00:00:00,10,74,74.0,0.0,569.34,569.337837837838,-0.0,MATCH
2026-08-10 00:00:00,11,82,82.0,0.0,660.04,660.036585365854,-0.0,MATCH
2026-08-17 00:00:00,12,70,70.0,0.0,617.6,617.6,0.0,MATCH
2026-08-24 00:00:00,13,72,72.0,0.0,550.04,550.041666666667,-0.0,MATCH
