week_start_date,week_number,actual_revenue,marketing_spend,revenue_per_spend,conversion_rate,gross_margin_pct
2026-06-01 00:00:00,1,51197.0,137135.0,0.37,0.0099,0.322
2026-06-08 00:00:00,2,43704.0,108449.0,0.4,0.013,0.332
2026-06-15 00:00:00,3,47822.0,86506.0,0.55,0.0148,0.287
2026-06-22 00:00:00,4,48546.0,137896.0,0.35,0.008,0.336
2026-06-29 00:00:00,5,51979.0,77168.0,0.67,0.0084,0.344
2026-07-06 00:00:00,6,43311.0,84031.0,0.52,0.0159,0.318
2026-07-13 00:00:00,7,43931.0,108086.0,0.41,0.0088,0.327
2026-07-20 00:00:00,8,41814.0,77977.0,0.54,0.0135,0.359
2026-07-27 00:00:00,9,47510.0,136954.0,0.35,0.0127,0.297
2026-08-03 00:00:00,10,42131.0,96878.0,0.43,0.0084,0.384
2026-08-10 00:00:00,11,54123.0,134920.0,0.4,0.0125,0.352
2026-08-17 00:00:00,12,43232.0,90286.0,0.48,0.0152,0.299
2026-08-24 00:00:00,13,39603.0,70845.0,0.56,0.0105,0.322
